rat_id,study_day,condition,treatment,trial_num,rem_start,rem_end,state,num_epochs,mean_duration,total_duration,percent_of_rem
5,8,HC,0,3,1331,1485,phasic,3,2.7593333333332644,8.277999999999793,5.375324675324541
5,8,HC,0,3,1331,1485,tonic,4,36.43050000000005,145.7220000000002,94.62467532467545
5,8,HC,0,3,2428,2475,phasic,1,3.5599999999999454,3.5599999999999454,7.574468085106267
5,8,HC,0,3,2428,2475,tonic,2,21.720000000000027,43.440000000000055,92.42553191489374
5,8,HC,0,2,411,496,phasic,4,1.6055000000000064,6.4220000000000255,7.555294117647089
5,8,HC,0,2,411,496,tonic,5,15.715599999999995,78.57799999999997,92.4447058823529
5,8,HC,0,2,1564,1620,phasic,2,2.9060000000000628,5.8120000000001255,10.378571428571652
5,8,HC,0,2,1564,1620,tonic,3,16.72933333333329,50.187999999999874,89.62142857142835
5,8,HC,0,2,1625,1709,phasic,1,1.8360000000000127,1.8360000000000127,2.185714285714301
5,8,HC,0,2,1625,1709,tonic,2,41.081999999999994,82.16399999999999,97.8142857142857
5,8,HC,0,2,2480,2653,phasic,4,1.415000000000191,5.660000000000764,3.2716763005784766
5,8,HC,0,2,2480,2653,tonic,5,33.46799999999985,167.33999999999924,96.72832369942152
5,8,HC,0,4,657,711,phasic,0,0.0,0.0,0.0
5,8,HC,0,4,657,711,tonic,1,54.0,54.0,100.0
5,8,HC,0,4,736,804,phasic,2,1.4459999999999695,2.891999999999939,4.2529411764704985
5,8,HC,0,4,736,804,tonic,3,21.702666666666687,65.10800000000006,95.7470588235295
5,8,HC,0,4,821,860,phasic,1,1.7580000000000382,1.7580000000000382,4.507692307692405
5,8,HC,0,4,821,860,tonic,2,18.62099999999998,37.24199999999996,95.4923076923076
5,8,HC,0,4,1669,1783,phasic,3,2.21266666666664,6.63799999999992,5.82280701754379
5,8,HC,0,4,1669,1783,tonic,4,26.84050000000002,107.36200000000008,94.17719298245622
5,8,HC,0,4,1873,1914,phasic,0,0.0,0.0,0.0
5,8,HC,0,4,1873,1914,tonic,1,41.0,41.0,100.0
5,8,HC,0,5,708,820,phasic,4,1.6785000000000139,6.7140000000000555,5.994642857142907
5,8,HC,0,5,708,820,tonic,5,21.057199999999987,105.28599999999994,94.0053571428571
5,8,HC,0,5,850,888,phasic,0,0.0,0.0,0.0
5,8,HC,0,5,850,888,tonic,1,38.0,38.0,100.0
5,8,HC,0,5,1267,1314,phasic,0,0.0,0.0,0.0
5,8,HC,0,5,1267,1314,tonic,1,47.0,47.0,100.0
5,8,HC,0,5,1753,1904,phasic,1,2.3279999999999745,2.3279999999999745,1.541721854304619
5,8,HC,0,5,1753,1904,tonic,2,74.33600000000001,148.67200000000003,98.45827814569537
5,8,HC,0,5,1943,2076,phasic,2,1.23700000000008,2.47400000000016,1.8601503759399702
5,8,HC,0,5,1943,2076,tonic,3,43.50866666666661,130.52599999999984,98.13984962406003
5,8,HC,0,5,5464,5537,phasic,1,2.518000000000029,2.518000000000029,3.44931506849319
5,8,HC,0,5,5464,5537,tonic,2,35.240999999999985,70.48199999999997,96.55068493150681
5,8,HC,0,5,5635,5661,phasic,1,0.9859999999998763,0.9859999999998763,3.7923076923072165
5,8,HC,0,5,5635,5661,tonic,2,12.507000000000062,25.014000000000124,96.20769230769278
5,8,HC,0,5,6188,6253,phasic,0,0.0,0.0,0.0
5,8,HC,0,5,6188,6253,tonic,1,65.0,65.0,100.0
5,8,HC,0,5,6858,6901,phasic,1,1.3479999999999563,1.3479999999999563,3.134883720930131
5,8,HC,0,5,6858,6901,tonic,2,20.826000000000022,41.652000000000044,96.86511627906988
5,8,HC,0,5,6942,6979,phasic,1,2.2460000000000946,2.2460000000000946,6.070270270270526
5,8,HC,0,5,6942,6979,tonic,2,17.376999999999953,34.753999999999905,93.92972972972947
5,8,HC,0,5,7635,7675,phasic,0,0.0,0.0,0.0
5,8,HC,0,5,7635,7675,tonic,1,40.0,40.0,100.0
5,8,HC,0,5,8915,9013,phasic,5,1.4028000000002065,7.014000000001033,7.157142857143911
5,8,HC,0,5,8915,9013,tonic,6,15.164333333333161,90.98599999999897,92.84285714285609
5,16,OR,1,5,1246,1376,phasic,5,1.9820000000000164,9.910000000000082,7.623076923076987
5,16,OR,1,5,1246,1376,tonic,6,20.014999999999986,120.08999999999992,92.376923076923
5,16,OR,1,5,2388,2510,phasic,6,1.7163333333332957,10.297999999999774,8.440983606557193
5,16,OR,1,5,2388,2510,tonic,7,15.957428571428604,111.70200000000023,91.5590163934428
5,16,OR,1,5,3247,3330,phasic,3,1.3973333333333358,4.192000000000007,5.0506024096385636
5,16,OR,1,5,3247,3330,tonic,4,19.701999999999998,78.80799999999999,94.94939759036144
5,16,OR,1,5,4002,4173,phasic,1,1.6739999999999782,1.6739999999999782,0.9789473684210398
5,16,OR,1,5,4002,4173,tonic,2,84.66300000000001,169.32600000000002,99.02105263157897
5,16,OR,1,5,7138,7256,phasic,1,2.3900000000003274,2.3900000000003274,2.025423728813837
5,16,OR,1,5,7138,7256,tonic,2,57.804999999999836,115.60999999999967,97.97457627118617
5,16,OR,1,5,9500,9575,phasic,3,1.709333333333537,5.128000000000611,6.837333333334149
5,16,OR,1,5,9500,9575,tonic,4,17.467999999999847,69.87199999999939,93.16266666666586
5,16,OR,1,5,10137,10201,phasic,3,1.50266666666721,4.50800000000163,7.043750000002547
5,16,OR,1,5,10137,10201,tonic,4,14.872999999999593,59.49199999999837,92.95624999999745
5,16,OR,1,5,10846,10937,phasic,6,1.5403333333333649,9.24200000000019,10.156043956044163
5,16,OR,1,5,10846,10937,tonic,7,11.679714285714258,81.75799999999981,89.84395604395584
5,16,OR,1,4,1134,1224,phasic,3,1.5026666666666795,4.508000000000038,5.008888888888931
5,16,OR,1,4,1134,1224,tonic,4,21.37299999999999,85.49199999999996,94.99111111111107
5,2,OR,0,4,1855,1899,phasic,2,2.758000000000152,5.516000000000304,12.536363636364326
5,2,OR,0,4,1855,1899,tonic,3,12.827999999999898,38.483999999999696,87.46363636363567
5,2,OR,0,4,1977,2053,phasic,1,0.987999999999829,0.987999999999829,1.299999999999775
5,2,OR,0,4,1977,2053,tonic,2,37.506000000000085,75.01200000000017,98.70000000000022
5,2,OR,0,2,1659,1759,phasic,4,1.4259999999999877,5.703999999999951,5.703999999999951
5,2,OR,0,2,1659,1759,tonic,5,18.85920000000001,94.29600000000005,94.29600000000005
5,2,OR,0,2,2357,2384,phasic,1,1.0,1.0,3.7037037037037033
5,2,OR,0,2,2357,2384,tonic,2,13.0,26.0,96.29629629629629
5,2,OR,0,5,1043,1185,phasic,2,1.6779999999999973,3.3559999999999945,2.363380281690137
5,2,OR,0,5,1043,1185,tonic,3,46.214666666666666,138.644,97.63661971830986
5,2,OR,0,5,2141,2199,phasic,1,1.737999999999829,1.737999999999829,2.9965517241376363
5,2,OR,0,5,2141,2199,tonic,2,28.131000000000085,56.26200000000017,97.00344827586235
5,2,OR,0,5,2608,2794,phasic,4,1.5820000000001073,6.328000000000429,3.4021505376346393
5,2,OR,0,5,2608,2794,tonic,5,35.93439999999991,179.67199999999957,96.59784946236536
5,2,OR,0,3,1381,1413,phasic,3,1.5239999999998872,4.571999999999662,14.287499999998943
5,2,OR,0,3,1381,1413,tonic,4,6.857000000000085,27.42800000000034,85.71250000000106
5,2,OR,0,3,1671,1790,phasic,1,2.240000000000009,2.240000000000009,1.8823529411764783
5,2,OR,0,3,1671,1790,tonic,2,58.379999999999995,116.75999999999999,98.11764705882352
5,2,OR,0,3,1839,1876,phasic,0,0.0,0.0,0.0
5,2,OR,0,3,1839,1876,tonic,1,37.0,37.0,100.0
5,2,OR,0,1,2203,2292,phasic,1,3.936000000000149,3.936000000000149,4.422471910112527
5,2,OR,0,1,2203,2292,tonic,2,42.531999999999925,85.06399999999985,95.57752808988748
5,1,OR,1,5,1527,1646,phasic,4,1.8525000000000205,7.410000000000082,6.2268907563025895
5,1,OR,1,5,1527,1646,tonic,5,22.317999999999984,111.58999999999992,93.7731092436974
5,1,OR,1,5,2197,2219,phasic,2,1.3009999999997035,2.601999999999407,11.827272727270032
5,1,OR,1,5,2197,2219,tonic,3,6.466000000000197,19.398000000000593,88.17272727272997
5,1,OR,1,5,2358,2399,phasic,0,0.0,0.0,0.0
5,1,OR,1,5,2358,2399,tonic,1,41.0,41.0,100.0
5,1,OR,1,5,2795,2809,phasic,0,0.0,0.0,0.0
5,1,OR,1,5,2795,2809,tonic,1,14.0,14.0,100.0
